chord	numeral	form	figbass	changes	relativeroot	localkey	globalkey
I	I					I	C
I6	I		6			I	C
IV	IV					I	C
I6	I		6			I	C
ii	ii					I	C
viio	vii		o			I	C
I	I					I	C
vi	vi					I	C
ii6	ii		6			I	C
V	V					I	C
I	I					I	C
