chord	numeral	form	figbass	changes	relativeroot	localkey	globalkey
I	I					I	C
I6	I		6			I	C
IV	IV					I	C
I6	I		6			I	C
ii	ii					I	C
viio	vii		o			I	C
I	I					I	C
vi	vi					I	C
ii6	ii		6			I	C
V	V					I	C
I	I					I	C

# hamon	C · I · T · C/E · I6 · T · F · IV · T · C/E · I6 · T · Dm · ii · T · B° · viio · T · C · I · T · Am · vi · T · Dm/F · ii6 · PD · G · V · D · C · I · T
